,keyword,date,trend_index
700,independentismo,2019-11-03,25
701,independentismo,2019-11-10,31
702,independentismo,2019-11-17,14
703,independentismo,2019-11-24,9
704,independentismo,2019-12-01,11
705,independentismo,2019-12-08,14
706,independentismo,2019-12-15,11
707,independentismo,2019-12-22,10
708,independentismo,2019-12-29,10
709,independentismo,2020-01-05,8
710,independentismo,2020-01-12,11
711,independentismo,2020-01-19,8
712,independentismo,2020-01-26,10
713,independentismo,2020-02-02,10
714,independentismo,2020-02-09,6
715,independentismo,2020-02-16,9
716,independentismo,2020-02-23,4
717,independentismo,2020-03-01,9
718,independentismo,2020-03-08,4
719,independentismo,2020-03-15,8
720,independentismo,2020-03-22,7
721,independentismo,2020-03-29,4
722,independentismo,2020-04-05,2
723,independentismo,2020-04-12,7
724,independentismo,2020-04-19,8
725,independentismo,2020-04-26,6
726,independentismo,2020-05-03,5
727,independentismo,2020-05-10,7
728,independentismo,2020-05-17,6
729,independentismo,2020-05-24,10
730,crisis política,2019-01-06,61
731,crisis política,2019-01-13,29
732,crisis política,2019-01-20,0
733,crisis política,2019-01-27,28
734,crisis política,2019-02-03,0
735,crisis política,2019-02-10,29
736,crisis política,2019-02-17,0
737,crisis política,2019-02-24,0
738,crisis política,2019-03-03,30
739,crisis política,2019-03-10,30
740,crisis política,2019-03-17,30
741,crisis política,2019-03-24,30
742,crisis política,2019-03-31,29
743,crisis política,2019-04-07,29
744,crisis política,2019-04-14,30
745,crisis política,2019-04-21,0
746,crisis política,2019-04-28,0
747,crisis política,2019-05-05,38
748,crisis política,2019-05-12,29
749,crisis política,2019-05-19,38
750,crisis política,2019-05-26,0
751,crisis política,2019-06-02,0
752,crisis política,2019-06-09,56
753,crisis política,2019-06-16,29
754,crisis política,2019-06-23,60
755,crisis política,2019-06-30,0
756,crisis política,2019-07-07,0
757,crisis política,2019-07-14,0
758,crisis política,2019-07-21,30
759,crisis política,2019-07-28,0
760,crisis política,2019-08-04,0
761,crisis política,2019-08-11,0
762,crisis política,2019-08-18,0
763,crisis política,2019-08-25,0
764,crisis política,2019-09-01,0
765,crisis política,2019-09-08,27
766,crisis política,2019-09-15,0
767,crisis política,2019-09-22,0
768,crisis política,2019-09-29,27
769,crisis política,2019-10-06,53
770,crisis política,2019-10-13,0
771,crisis política,2019-10-20,26
772,crisis política,2019-10-27,26
773,crisis política,2019-11-03,26
774,crisis política,2019-11-10,0
775,crisis política,2019-11-17,0
776,crisis política,2019-11-24,0
777,crisis política,2019-12-01,0
778,crisis política,2019-12-08,27
779,crisis política,2019-12-15,0
780,crisis política,2019-12-22,30
781,crisis política,2019-12-29,0
782,crisis política,2020-01-05,27
783,crisis política,2020-01-12,0
784,crisis política,2020-01-19,24
785,crisis política,2020-01-26,0
786,crisis política,2020-02-02,0
787,crisis política,2020-02-09,25
788,crisis política,2020-02-16,0
789,crisis política,2020-02-23,25
790,crisis política,2020-03-01,0
791,crisis política,2020-03-08,24
792,crisis política,2020-03-15,55
793,crisis política,2020-03-22,100
794,crisis política,2020-03-29,44
795,crisis política,2020-04-05,69
796,crisis política,2020-04-12,67
797,crisis política,2020-04-19,87
798,crisis política,2020-04-26,59
799,crisis política,2020-05-03,66
800,crisis política,2020-05-10,44
801,crisis política,2020-05-17,100
802,crisis política,2020-05-24,81
803,barometro,2019-01-06,35
804,barometro,2019-01-13,32
805,barometro,2019-01-20,28
806,barometro,2019-01-27,59
807,barometro,2019-02-03,47
808,barometro,2019-02-10,51
809,barometro,2019-02-17,61
810,barometro,2019-02-24,46
811,barometro,2019-03-03,41
812,barometro,2019-03-10,37
813,barometro,2019-03-17,35
814,barometro,2019-03-24,35
815,barometro,2019-03-31,72
816,barometro,2019-04-07,92
817,barometro,2019-04-14,42
818,barometro,2019-04-21,100
819,barometro,2019-04-28,45
820,barometro,2019-05-05,44
821,barometro,2019-05-12,33
822,barometro,2019-05-19,16
823,barometro,2019-05-26,18
824,barometro,2019-06-02,23
825,barometro,2019-06-09,26
826,barometro,2019-06-16,19
827,barometro,2019-06-23,29
828,barometro,2019-06-30,34
829,barometro,2019-07-07,24
